"","Age","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","Anxiety","Depression","Insomnia","OCD"
"497","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"498","Age 18-24","2 < hours <= 4","Not listening while working","Instrumentalist","Composer","Hip hop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"499","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"500","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"501","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"502","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"503","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"504","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"505","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"506","Age 25-34","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"507","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"508","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"509","Age 55-64","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"510","Age 25-34","4 < hours <= 6","Not listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"511","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"512","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Country","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"513","Age 45-54","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"514","Age 55-64","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"515","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"516","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"517","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"518","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"519","Age 55-64","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"520","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"521","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"522","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"523","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"524","Age 65+","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"525","Age 25-34","2 < hours <= 4","Not listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"526","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"527","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Not Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"528","Age 65+","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Anxious","Not Depressed","Insomniac","Not O-C"
"529","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Composer","Pop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"530","Age 55-64","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"531","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"532","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"533","Age 65+","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"534","Age 55-64","hours <= 2","Listening while working","Instrumentalist","Non-composer","Gospel","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"535","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"536","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"537","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"538","Age 45-54","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"539","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"540","Age 65+","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"541","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Metal","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"542","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Country","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"543","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"544","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"545","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"546","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"547","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"548","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"549","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"550","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"551","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Rap","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"552","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"553","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"554","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Only fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"555","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"556","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Composer","Pop","Exploring","Only fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"557","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Insomniac","Not O-C"
"558","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"559","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","R&B","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"560","Age 25-34","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"561","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"562","Age 18-24","hours <= 2",NA,NA,NA,"K pop","Exploring",NA,"Fairly Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"563","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"564","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","K pop","Non-exploring","Not Fluent","Anxious","Not Depressed","Insomniac","O-C"
"565","Age 18-24","2 < hours <= 4","Not listening while working","Instrumentalist","Composer","Metal","Exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"566","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"567","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Fairly Depressed","Fairly Insomniac","O-C"
"568","Age 65+","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Gospel","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"569","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Only fluent","Fairly Anxious","Depressed","Insomniac","Fairly O-C"
"570","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"571","Age 45-54","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"572","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Classical","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","O-C"
"573","Age 18-24","2 < hours <= 4","Listening while working",NA,"Non-composer","Video game music","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"574","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","O-C"
"575","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"576","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"577","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"578","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"579","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"580","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"581","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"582","Age 25-34","6+ hours","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"583","Age 55-64","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"584","Age 25-34","6+ hours","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","O-C"
"585","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","O-C"
"586","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"587","Age 18-24","6+ hours","Listening while working","Instrumentalist","Composer","Metal","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"588","Age 18-24","6+ hours","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"589","Age 35-44","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"590","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"591","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"592","Age 55-64","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","O-C"
"593","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"594","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"595","Age 18-24","6+ hours","Listening while working","Instrumentalist","Composer","Gospel","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"596","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","O-C"
"597","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","O-C"
"598","Age 18-24","6+ hours","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"599","Age < 18","6+ hours","Listening while working","Instrumentalist","Non-composer","Latin","Exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Fairly O-C"
"600","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"601","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","R&B","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"602","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"603","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"604","Age 45-54","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"605","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","O-C"
"606","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"607","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"608","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"609","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Rap","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"610","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Folk","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"611","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","O-C"
"612","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"613","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"614","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","O-C"
"615","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"616","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"617","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"618","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"619","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"620","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"621","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"622","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"623","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Not Anxious","Fairly Depressed","Insomniac","Not O-C"
"624","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"625","Age 45-54","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"626","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rap","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"627","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"628","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"629","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"630","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"631","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"632","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"633","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"634","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"635","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"636","Age 45-54","6+ hours","Listening while working","Instrumentalist","Composer","Classical","Non-exploring","Only fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"637","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"638","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"639","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Composer","K pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"640","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","O-C"
"641","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Not Anxious","Depressed","Insomniac","Fairly O-C"
"642","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"643","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"644","Age 35-44","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"645","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"646","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Fairly Anxious","Depressed","Insomniac","Fairly O-C"
"647","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","O-C"
"648","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"649","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"650","Age 25-34","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"651","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"652","Age 25-34","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"653","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"654","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"655","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"656","Age 18-24","6+ hours","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","O-C"
"657","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"658","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"659","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"660","Age 18-24","6+ hours","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"661","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Metal","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
